종가,오픈,고가,저가
1144.5,1144.3,1156.6,1139.4
1149.85,1141.4,1152.9,1141.4
1179.85,1175.05,1180.15,1169.95
1165.5,1180.5,1196.2,1165.4
1182.0,1173.9,1199.1,1168.9
1169.8,1178.4,1187.3,1159.8
1175.1,1169.6,1182.4,1162.6
1174.55,1182.85,1185.85,1170.85
1181.1,1175.1,1181.7,1174.0
1180.5,1180.5,1180.5,1180.5
1198.9,1201.2,1208.4,1188.3
1187.0,1190.4,1195.5,1185.55
1183.95,1182.7,1193.0,1181.3
1171.0,1181.3,1185.2,1171.0
1167.95,1176.4,1177.4,1167.95
1171.5,1160.4,1174.15,1160.4
1165.0,1170.4,1178.0,1165.0
1158.75,1157.9,1163.5,1153.9
1156.1,1159.0,1164.7,1155.6
1148.5,1150.4,1151.3,1138.4
1149.75,1152.15,1153.05,1143.05
1134.0,1146.4,1147.2,1128.4
1147.5,1135.9,1147.85,1133.3
1147.35,1147.05,1153.25,1142.95
1132.55,1146.3,1146.3,1132.55
1131.05,1129.05,1131.9,1123.55
1133.5,1132.4,1135.15,1127.9
1106.6,1133.9,1134.3,1106.6
1103.0,1101.4,1107.7,1101.4
1112.35,1103.0,1112.55,1100.3
1122.3,1112.1,1122.3,1109.95
1122.15,1123.05,1133.2,1118.65
1127.65,1121.4,1134.95,1121.4
1110.75,1114.05,1114.65,1109.95
1116.25,1111.6,1121.0,1111.6
1114.55,1115.75,1123.1,1113.3
1119.1,1114.3,1119.35,1110.05
1132.35,1119.35,1138.1,1119.35
1126.6,1127.1,1131.7,1122.1
1127.3,1127.4,1127.4,1117.8
1129.0,1126.8,1129.0,1124.3
1136.65,1129.5,1138.8,1129.5
1133.65,1136.15,1144.8,1128.4
1139.25,1138.55,1141.35,1131.65
1143.75,1139.25,1144.05,1135.65
1144.65,1144.0,1151.7,1143.4
1160.7,1144.65,1160.7,1144.65
1155.65,1160.2,1160.9,1151.65
1162.5,1158.4,1165.2,1155.9
1153.0,1162.5,1162.5,1151.5
1140.0,1153.0,1156.2,1140.0
1140.55,1140.0,1146.3,1137.3
1127.05,1140.55,1140.55,1122.4
1128.5,1126.4,1131.9,1126.0
1125.0,1128.5,1133.5,1125.0
1129.0,1125.0,1133.3,1125.0
1129.62,1129.12,1131.17,1124.62
1134.05,1129.5,1134.3,1128.9
1146.8,1140.6,1148.5,1137.0
1149.7,1147.1,1149.7,1138.3
1158.0,1150.2,1161.1,1150.2
1159.0,1158.0,1161.4,1155.8
1157.25,1158.75,1163.75,1155.95
1158.65,1155.05,1159.45,1152.95
1176.25,1159.25,1180.55,1158.15
1158.0,1176.5,1176.5,1158.0
1151.3,1157.5,1157.8,1145.3
1154.5,1151.3,1159.1,1151.3
1149.5,1154.5,1154.5,1147.4
1155.0,1149.5,1156.0,1145.2
1156.15,1155.0,1160.4,1151.4
1157.5,1156.15,1159.6,1153.3
1157.0,1157.5,1159.3,1149.3
1159.25,1157.25,1159.4,1155.9
1155.15,1159.0,1159.0,1153.4
1145.7,1155.65,1155.7,1144.7
1148.35,1145.7,1152.0,1144.9
1156.05,1147.85,1156.5,1147.4
1160.5,1155.4,1163.4,1153.9
1158.05,1161.0,1167.2,1158.05
1154.55,1158.05,1159.7,1153.55
1159.55,1154.55,1162.8,1154.55
1152.45,1159.55,1161.8,1152.25
1151.35,1152.45,1154.3,1147.0
1152.0,1150.6,1155.55,1150.6
1143.75,1152.75,1152.75,1143.6
1139.1,1143.75,1146.7,1139.1
1134.4,1139.1,1139.1,1134.4
1133.5,1134.3,1137.6,1133.4
1128.15,1134.0,1134.0,1126.4
1130.05,1128.15,1135.0,1128.15
1127.55,1130.05,1130.05,1125.4
1122.5,1127.05,1127.05,1120.3
1120.75,1125.15,1126.55,1120.75
1128.25,1122.5,1129.95,1120.5
1126.2,1128.5,1130.45,1121.25
1123.6,1125.7,1130.15,1123.6
1117.15,1124.1,1124.1,1116.15
1117.0,1116.9,1122.5,1116.5
1120.5,1114.6,1122.8,1114.6
1117.5,1122.4,1124.1,1117.5
1117.65,1118.0,1119.0,1116.0
1119.05,1117.65,1121.7,1115.5
1123.5,1119.4,1124.4,1117.4
1120.2,1123.5,1127.2,1119.5
